id,location,stop_time,long_entry,start_time,create_time,listen_date,listening_type,next_day_entry,start_stop_time,listen_date_text,overlap_confirmed,streaming_amfm_band,streaming_amfm_is_hd,listening_description,streaming_amfm_station,no_listening,podcast_name,podcast_episode,podcast_application,amfm_band,amfm_is_hd,amfm_station,audiobook_title,audiobook_author,audiobook_service,hhcmp,service,srvy_id,diary_id,dst_code,smplu_id,agreedTac,sample_id,diary_type,luw_switch,rspndnt_id,access code
70a6c2ea-0bbb-4a26-a076-667bc75de7e3,['home'],11:24,False,09:24,"Wed, 27 Sep 2023 13:24:14 GMT",2023-09-25,streaming_am_fm_radio,False,9:24 AM - 11:24 AM,"Sep 25, 2023",True,am,no,Streaming AM/FM Radio,99.9,,,,,,,,,,,DOTHR,RADIO,FA23,701102,3,1,True,7011,RAB1B,1,2,
ad0718cf-5cb1-45f1-a486-ba8de3ab7672,,,,,,2023-09-24,,,,,,,,,,True,,,,,,,,,,DOTHR,RADIO,FA23,701102,3,1,True,7011,RAB1B,1,2,
9e6bd0ee-e2dd-4f5b-85f4-1c9730b99b5f,['car'],12:28,False,09:30,"Wed, 27 Sep 2023 13:28:42 GMT",2023-09-25,podcast,False,9:30 AM - 12:28 PM,"Sep 25, 2023",True,,,Podcast,,,Serial killers,Black Dhalia Murder,['spotify'],,,,,,,DOTHR,RADIO,FA23,701102,3,1,True,7011,RAB1B,1,2,
35580eff-8ce1-42bf-bdfb-06df374e13f7,['home'],12:29,False,08:07,"Wed, 27 Sep 2023 13:29:44 GMT",2023-09-26,am_fm_radio,False,8:07 AM - 12:29 PM,"Sep 26, 2023",True,,,AM/FM Radio,,,,,,amfm_band_fm,no,99.8,,,,DOTHR,RADIO,FA23,701102,3,1,True,7011,RAB1B,1,2,
b4e14f5f-53bd-48c7-a17a-515c612d82b0,['work'],10:30,False,08:30,"Wed, 27 Sep 2023 13:30:27 GMT",2023-09-26,streaming_am_fm_radio,False,8:30 AM - 10:30 AM,"Sep 26, 2023",True,fm,no,Streaming AM/FM Radio,88.9,,,,,,,,,,,DOTHR,RADIO,FA23,701102,3,1,True,7011,RAB1B,1,2,
96f3c96a-5a6b-4159-935c-8718a21b9be4,['home'],11:31,False,09:30,"Wed, 27 Sep 2023 13:31:05 GMT",2023-09-26,audiobook,False,9:30 AM - 11:31 AM,"Sep 26, 2023",True,,,Audiobook,,,,,,,,,It Ends With Us,Colleen Hoover,libby,DOTHR,RADIO,FA23,701102,3,1,True,7011,RAB1B,1,2,
1b874466-959d-4e9e-8a5a-551ba4f19d4c,['home'],09:31,False,08:45,"Wed, 27 Sep 2023 13:31:48 GMT",2023-09-26,am_fm_radio,False,8:45 AM - 9:31 AM,"Sep 26, 2023",True,,,AM/FM Radio,,,,,,amfm_band_fm,no,101.7,,,,DOTHR,RADIO,FA23,701102,3,1,True,7011,RAB1B,1,2,
968216c4-ab18-4a21-a9d3-6b72c5ec3a2a,['home'],02:33,False,22:33,"Wed, 27 Sep 2023 13:34:23 GMT",2023-09-22,audiobook,True,10:33 PM - 2:33 AM,"Sep 22, 2023",,,,Audiobook,,,,,,,,,All your perfects,Colleen Hoover,audible,DOTHR,RADIO,FA23,701102,3,1,True,7011,RAB1B,1,2,
dc1ea021-ac59-4185-9df4-db7f4a30380f,['car'],10:34,False,09:34,"Wed, 27 Sep 2023 13:34:56 GMT",2023-09-23,audiobook,False,9:34 AM - 10:34 AM,"Sep 23, 2023",,,,Audiobook,,,,,,,,,All your perfects,Colleen Hoover,audible,DOTHR,RADIO,FA23,701102,3,1,True,7011,RAB1B,1,2,
